server: s1 ,choice: none ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 4 ,reward: 0.0
server: s6 ,choice: none ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 4 ,reward: 0.0
server: s4 ,choice: none ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 4 ,reward: 0.0
server: s3 ,choice: none ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 4 ,reward: 0.0
server: s5 ,choice: none ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 4 ,reward: 0.0
server: s2 ,choice: none ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 4 ,reward: 0.0
server: s6 ,choice: 1 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s4 ,choice: 3 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s3 ,choice: 2 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s2 ,choice: 1 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s6 ,choice: 5 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 4 ,reward: 0.0
server: s4 ,choice: 2 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 6 ,reward: 0.0
server: s4 ,choice: 1 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 7 ,reward: 0.0
server: s5 ,choice: 4 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s1 ,choice: 2 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s6 ,choice: 1 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s4 ,choice: 2 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 8 ,reward: 0.0
server: s3 ,choice: 0 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 7.6
server: s2 ,choice: 3 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 6 ,reward: 0.0
server: s6 ,choice: 4 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 6 ,reward: 0.0
server: s4 ,choice: 4 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 9 ,reward: 0.0
server: s3 ,choice: 0 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 7.6
server: s2 ,choice: 2 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 7 ,reward: 0.0
server: s4 ,choice: 2 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 10 ,reward: 0.0
server: s3 ,choice: 3 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 6 ,reward: 0.0
server: s2 ,choice: 2 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 8 ,reward: 0.0
server: s1 ,choice: 3 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 6 ,reward: 0.0
server: s6 ,choice: 5 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 5 ,reward: 0.0
server: s4 ,choice: 4 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 11 ,reward: 0.0
server: s3 ,choice: 0 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 6 ,reward: 7.6
server: s2 ,choice: 0 ,totalMEMUTILA: 0.0 ,totalMEMUTILB: 0.0 ,totalMEMUTILCs: 0.0 ,totalMEMUTILD: 0.0 ,totalCPUUTILA: 0.0 ,totalCPUUTILB: 0.0 ,totalCPUUTILC: 0.0 ,totalCPUUTILD: 0.0 ,conCount: 8 ,reward: 7.6
