ChosenCon: c24 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c18 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c20 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c8 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c21 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c15 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c24 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c14 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c17 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c4 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c21 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c8 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c21 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c22 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c13 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c22 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c15 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c14 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c22 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c10 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c8 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c13 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c15 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c21 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c14 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c15 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c16 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c21 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c15 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c22 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c23 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c9 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c21 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c3 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c22 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c22 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c15 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c2 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
ChosenCon: c1 ,memDiff: 0.0 ,cpuDiff: 0.0 ,reward: 2
